object_id,best_place,place_precision,country,region,rajon,village,lat,lon,has_coordinates,koht
526336,Pasma küla,küla,Venemaa,Komi ANSV,Udori rajoon,Pasma küla,1137.0,,False,Pasma küla; Vazhgort'i k/n; Udori rajoon; Komi Vabariik; Venemaa
526337,Pasma küla,küla,Venemaa,Komi ANSV,Udori rajoon,Pasma küla,1137.0,,False,Pasma küla; Vazhgort'i k/n; Udori rajoon; Komi Vabariik; Venemaa
526338,Pasma küla,küla,Venemaa,Komi ANSV,Udori rajoon,Pasma küla,1137.0,,False,Pasma küla; Vazhgort'i k/n; Udori rajoon; Komi Vabariik; Venemaa
526675,Ust-Kulom asula,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi alevik,1166.0,,False,Ust-Kulom asula; Ust-Kulom rajoon; Komi Vabariik; Venemaa
526676,Ust-Kulom asula,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi alevik,1166.0,,False,Ust-Kulom asula; Ust-Kulom rajoon; Komi Vabariik; Venemaa
526677,Kužba küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Kužba küla,1180.0,,False,Kužba küla; Ust-Kulom rajoon; Komi Vabariik; Venemaa
526678,Ust-Kulom asula,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Ust-Kulomi alevik,1166.0,,False,Ust-Kulom asula; Ust-Kulom rajoon; Komi Vabariik; Venemaa
526679,Nosim küla,küla,Venemaa,Komi ANSV,rajoon,Nosim küla,1195.0,,False,Nosim küla; rajoon; Komi Vabariik; Venemaa
526680,Nosim küla,küla,Venemaa,Komi ANSV,rajoon,Nosim küla,1195.0,,False,Nosim küla; rajoon; Komi Vabariik; Venemaa
526681,Badjolski küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Badjolski küla,52464.0,,False,Badjolski küla; Ust-Kulomi rajoon; Komi Vabariik; Venemaa
526682,Badjolski küla,küla,Venemaa,Komi ANSV,Ust-Kulomi rajoon,Badjolski küla,52464.0,,False,Badjolski küla; Ust-Kulomi rajoon; Komi Vabariik; Venemaa
526683,Udori rajoon,rajoon,Venemaa,Komi ANSV,Udori rajoon,,,,False,Udori rajoon; Komi Vabariik; Venemaa
526684,Võlgort küla,küla,Venemaa,Komi ANSV,Udori rajoon,Võlgorti küla,1230.0,,False,Võlgort küla; Udori rajoon; Komi Vabariik; Venemaa
